DATE,GDP,GDPDEF,HOANBS,PNFI,PCE,CNP16OV,ford_tfp,dtfp_util,GDPpc,PCEpc,PNFIpc,HOANBSpc,LABOR_PROD
1964Q2,678.674,17.421,55.013,71.075,407.5333333333333,124203.0,0.203115291155331,-2.9148255061094104,-806.7208083392286,-857.7226248910677,-1032.361332030013,-746.5936945242106,-34.51050015524667
1964Q3,692.031,17.49,55.367,73.406,416.40000000000003,124739.33333333333,0.748530765979888,3.5932641360467747,-805.5980042344409,-856.396445790574,-1029.960511849772,-743.7975829467211,-33.59822851309795
1964Q4,697.319,17.57,55.906,75.324,419.0,125289.0,-1.08987150621596,-0.873878341132161,-805.7328268111643,-856.6700330001655,-1028.2772440800397,-741.6579538601392,-34.262162931391096
1965Q1,717.79,17.658,56.771,80.23,429.7,125814.0,-0.153253898574577,-0.5186708005307903,-803.7571796134959,-855.0661552513242,-1022.8851333528626,-735.7662395049235,-33.40375232851187
1965Q2,730.191,17.739,57.334,83.382,436.6333333333334,126324.66666666667,0.704711612211068,1.2069107107849062,-802.9070053211673,-854.3282408231454,-1019.8943738234445,-732.3178132727644,-33.13532777362449
1965Q3,749.323,17.808,57.476,86.686,445.8,126745.0,1.95594337615655,8.329223940382082,-801.041013526198,-852.9709846525012,-1016.7287873084243,-728.7640078551054,-31.184513168534778
1965Q4,771.857,17.93,58.023,90.645,459.76666666666665,127169.33333333333,2.18464601875754,2.614804965387736,-799.0950798585175,-850.9030983878183,-1013.2799319809917,-724.6324032192875,-29.851547157537045
1966Q1,795.734,18.046,58.854,94.382,470.1333333333334,127511.33333333333,0.557257417462525,3.26257950800178,-796.9619622948843,-849.5868239675882,-1010.1534205087435,-720.8610151515126,-28.871889523995275
1966Q2,804.981,18.193,59.429,96.823,475.1666666666667,127868.66666666667,-0.782833952231669,-2.0618131537853275,-796.8977204553119,-849.6130259524049,-1008.6911309843546,-718.587440512888,-29.500055277752672
1966Q3,819.638,18.369,59.708,98.325,484.3333333333333,128233.66666666667,-0.331857337532296,0.9414450551916891,-796.3411081290948,-848.9500485758779,-1008.3995542343079,-717.3331081179151,-29.12676965649173
1966Q4,833.302,18.523,59.56,99.163,490.06666666666666,128617.0,0.089123090250378,3.722268479499121,-795.8211356554286,-848.9066041763695,-1008.6842517191498,-716.7829314050912,-28.060128947510947
1967Q1,844.17,18.6,59.495,97.999,494.3333333333333,129043.66666666667,0.159284798664644,7.7791608450142915,-795.271381196206,-848.7857654606495,-1010.611043353944,-718.2948852820285,-27.069996001201485
